Rank,Team,2005,Last 3,Last 1,Home,Away,2004
248,Yale,0.943,0.851,0.752,0.99,0.915,0.959
249,W Illinois,0.942,0.971,0.819,1.027,0.889,0.974
250,American,0.942,1.014,0.894,0.979,0.919,0.986
251,LA Tech,0.942,0.903,0.724,0.996,0.913,0.976
252,Indiana St,0.942,1.034,1.01,0.953,0.93,0.908
253,St Fran (PA),0.942,0.918,0.898,0.929,0.951,1.036
254,Cal St Nrdge,0.94,1.02,0.854,0.993,0.904,1.002
255,Boston U,0.94,1.067,0.988,0.89,0.971,0.981
256,AR Lit Rock,0.94,0.895,0.754,0.979,0.901,0.977
257,Saint Louis,0.94,0.826,0.618,0.945,0.934,0.884
258,S Illinois,0.939,0.906,0.779,0.967,0.922,1.022
259,Marshall,0.939,0.927,0.826,0.976,0.901,0.98
260,NC-Asheville,0.938,0.926,0.924,0.987,0.913,0.971
261,LA Lafayette,0.937,0.94,0.94,0.987,0.908,1.019
262,Lafayette,0.937,0.95,0.931,0.982,0.902,0.901
263,Monmouth,0.936,0.851,0.726,0.953,0.926,0.975
264,Drexel,0.936,0.849,0.647,0.99,0.891,1.019
265,Purdue,0.936,0.86,0.883,1.021,0.848,0.954
266,Jacksonville,0.936,1.033,1.026,0.947,0.927,0.938
267,Florida A&M,0.934,0.934,0.8,1.017,0.888,0.928
268,Princeton,0.934,0.89,0.944,0.981,0.895,1.037
269,Dartmouth,0.934,0.935,0.932,0.923,0.941,0.911
270,Jackson St,0.934,0.961,0.798,1,0.898,0.862
271,Howard,0.934,0.963,0.868,0.984,0.911,0.884
272,N Colorado,0.934,1.17,1.058,1.05,0.868,0.903
273,SE Missouri,0.93,0.964,0.991,0.912,0.945,1.014
274,,0.93,0.936,0.767,0.95,0.913,0.912
275,Delaware,0.929,0.76,0.808,1.015,0.873,0.924
276,Bowling Grn,0.929,0.825,0.773,0.977,0.898,1.032
277,IPFW,0.929,1.096,0.893,0.973,0.904,0.907
278,Hampton,0.929,0.904,0.688,0.937,0.922,0.931
279,New Orleans,0.928,1.01,0.886,0.993,0.899,0.985
280,Alabama St,0.928,0.984,0.841,0.997,0.89,0.971
281,Evansville,0.928,0.96,0.887,0.946,0.91,1.02
282,Wyoming,0.927,0.922,0.837,0.949,0.902,0.981
283,Lehigh,0.927,0.862,0.955,0.955,0.906,0.914
284,Beth-Cook,0.927,0.82,0.831,1.03,0.869,0.899
285,W Michigan,0.924,0.909,0.87,0.968,0.892,1.058
286,Nicholls St,0.924,0.995,1.074,1.024,0.851,0.926
287,Baylor,0.924,1.007,0.871,0.973,0.88,0.981
288,Maine,0.923,1.032,0.85,0.986,0.891,0.899
289,Southern,0.923,0.838,0.776,1.023,0.875,1.031
290,VA Military,0.92,0.877,0.939,0.958,0.888,0.904
291,Coppin State,0.92,0.879,0.927,0.964,0.901,0.933
292,St Fran (NY),0.92,0.96,0.907,0.897,0.941,0.972
293,E Illinois,0.917,0.888,0.827,0.967,0.876,0.98
294,Pepperdine,0.914,0.906,0.918,0.945,0.889,1.024
295,Alcorn State,0.914,1.043,0.735,1.001,0.874,0.786
296,James Mad,0.914,0.868,0.781,0.921,0.907,0.881
297,San Jose St,0.912,0.882,0.954,0.916,0.91,0.904
298,Grambling St,0.911,0.81,0.759,0.969,0.877,0.944
299,Navy,0.91,0.859,0.775,0.971,0.861,0.916
300,Wash State,0.909,0.885,0.862,0.893,0.928,0.873
301,St Johns,0.908,0.871,1.063,0.924,0.885,0.937
302,E Carolina,0.906,0.825,0.864,0.963,0.846,0.89
303,Idaho,0.904,0.864,0.836,0.959,0.858,0.929
